Scheme Name	Net Asset Value
JM Overnight Fund (Regular) - Daily IDCW	1000
JM Overnight Fund (Regular) - Growth	1338.1157
JM Overnight Fund (Regular) - Weekly IDCW	1000.276
JM Overnight Fund - (Direct) - Growth	1343.7355
JM Overnight Fund - (Direct) - Unclaimed IDCW - Growth Plan	1350.1053
JM Overnight Fund - (Direct) - Unclaimed IDCW I.E.F. - Growth Plan	1073.9936
JM Overnight Fund - (Direct) - Unclaimed Redemption - Growth Plan	1343.7549
JM Overnight Fund - (Direct) - Unclaimed Redemption I.E.F. - Growth Plan	1073.9936
Kotak Overnight Fund -Direct Plan-Growth Option	1413.5427
Kotak Overnight Fund -Regular plan-Growth Option	1404.7002
Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option	1003.6055
Kotak Overnight Fund-Regular Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option	1004.7568
LIC MF Overnight Fund-Direct Plan-Daily IDCW	1086.8755
LIC MF Overnight Fund-Direct Plan-Growth	1373.4412
LIC MF Overnight Fund-Direct Plan-IDCW	1373.5753
LIC MF Overnight Fund-Direct Plan-Weekly IDCW	1070.7621
LIC MF Overnight Fund-Regular Plan-Daily IDCW	1085.7144
LIC MF Overnight Fund-Regular Plan-Growth	1362.4764
LIC MF Overnight Fund-Regular Plan-IDCW	1205.209
LIC MF Overnight Fund-Regular Plan-Weekly IDCW	1179.6322
Mahindra Manulife Overnight Fund - Direct Plan - Daily IDCW	1374.9051
Mahindra Manulife Overnight Fund - Direct Plan -Growth	1371.5311
Mahindra Manulife Overnight Fund - Regular Plan - Daily IDCW	1208.5280
Mahindra Manulife Overnight Fund - Regular Plan - Growth	1362.7181
Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW beyond 3 years	1000.0000
Mahindra Manulife Overnight Fund - Unclaimed Redemption/IDCW upto 3 years	1257.8114
Mirae Asset Overnight Fund Direct Daily IDCW	1000.0012
Mirae Asset Overnight Fund Direct Monthly IDCW	1001.4555
Mirae Asset Overnight Fund Direct Plan Growth	1358.8456
Mirae Asset Overnight Fund Direct Weekly IDCW	1000.1484
Mirae Asset Overnight Fund Regular Daily  IDCW	1000.0114
Mirae Asset Overnight Fund Regular Monthly IDCW	1001.4564
Mirae Asset Overnight Fund Regular Plan Growth	1351.2459
Mirae Asset Overnight Fund Regular Weekly IDCW	1000.1438
NIPPON INDIA OVERNIGHT FUND - DAILY IDCW Option	100.0050
NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - DAILY IDCW Option	100.0050
Nippon India Overnight Fund - Direct Plan - Growth Option	142.3292
NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - MONTHLY IDCW Option	100.2523
NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - QUARTERLY IDCW Option	101.4147
NIPPON INDIA OVERNIGHT FUND - DIRECT Plan - WEEKLY IDCW Option	100.0925
NIPPON INDIA OVERNIGHT FUND - MONTHLY IDCW Option	100.2415
NIPPON INDIA OVERNIGHT FUND - QUARTERLY IDCW Option	101.3955
Nippon India Overnight Fund - Regular Plan - Growth Option	141.4141
NIPPON INDIA OVERNIGHT FUND - WEEKLY IDCW Option	100.0911
NJ Overnight Fund - Direct Plan - Growth Option	1226.6299
NJ Overnight Fund - Regular Plan - Growth Option	1222.5047
NJ Overnight Fund - Unclaimed Redemption Plan - Upto 3 Years	1065.6682
PGIM India Overnight Fund - Direct Plan - Daily Dividend Option	1000.0087
PGIM India Overnight Fund - Direct Plan - Growth Option	1366.8423
PGIM India Overnight Fund - Direct Plan - Weekly Dividend Option	1001.4179
PGIM India Overnight Fund - Regular Plan - Daily Dividend Option	1000
PGIM India Overnight Fund - Regular Plan - Weekly Dividend Option	1008.2305
PGIM India Overnight Fund - Regular Plan- Growth Option	1360.9174
quant Overnight Fund - Growth Option - Direct Plan	12.1207
quant Overnight Fund - Growth Option - Regular Plan	12.083
quant Overnight Fund - IDCW Option - Direct Plan	12.1249
quant Overnight Fund - IDCW Option - Regular Plan	12.071
Samco Overnight Fund - Direct Plan - Growth Option	1211.4300
Samco Overnight Fund - Regular Plan - Growth Option	1203.1711
Samco Overnight Fund - Unclaimed Redemption Upto 3 years	1059.8000
SBI Overnight Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1337.4975
SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH	4309.1159
SBI Overnight Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1365.7760
SBI Overnight Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1331.7704
SBI OVERNIGHT FUND - REGULAR PLAN - GROWTH	4252.1731
SBI Overnight Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1359.8288
Shriram Overnight Fund -  Direct Growth	12.2359
Shriram Overnight Fund -  Regular Fortnightly IDCW	10.0049
Shriram Overnight Fund - Direct Daily IDCW	10.0001
Shriram Overnight Fund - Direct Fortnightly IDCW	10.0046
Shriram Overnight Fund - Direct Monthly IDCW	10.0245
Shriram Overnight Fund - Regular Daily IDCW	10
Shriram Overnight Fund - Regular Growth	12.202
Shriram Overnight Fund - Regular Monthly IDCW	10.0245
Shriram Overnight Fund - Regular Weekly IDCW	10.0035
Sundaram Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	1000.0300
Sundaram Overnight Fund Direct Plan - Fortnightly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	1067.4522
Sundaram Overnight Fund Direct Plan - Growth	1407.5968
Sundaram Overnight Fund Direct Plan - Monthly Payout of Income Distribution cum Capital Withdrawal (IDCW)	1017.3314
Sundaram Overnight Fund Direct Plan - Monthly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	1017.3314
Sundaram Overnight Fund Direct Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	1049.5696
Sundaram Overnight Fund Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	1000.0300
Sundaram Overnight Fund Regular Plan - Fortnightly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	1068.8381
Sundaram Overnight Fund Regular Plan - Growth	1398.3503
Sundaram Overnight Fund Regular Plan - Monthly Payout of Income Distribution cum Capital Withdrawal (IDCW)	1012.8607
Sundaram Overnight Fund Regular Plan - Monthly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	1012.8607
Sundaram Overnight Fund Regular Plan - Weekly Payout of Income Distribution cum Capital Withdrawal (IDCW)	1048.3636
TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option	1000.0000
TATA Overnight Fund Regular Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option	1000.0000
Tata Overnight Fund-Direct Plan-Growth	1398.5475
Tata Overnight Fund-Regular Plan-Growth	1388.0574
TRUST MF OVERNIGHT FUND-DIRECT PLAN-DAILY IDCW REINVESTMENT	1229.7955
TRUST MF OVERNIGHT FUND-DIRECT PLAN-GROWTH	1253.6728
TRUST MF OVERNIGHT FUND-REGULAR PLAN-DAILY IDCW REINVESTMENT	1229.46
TRUST MF OVERNIGHT FUND-REGULAR-GROWTH	1251.2617
Union Overnight Fund - Direct Plan - Daily IDCW Option	1000.8004
Union Overnight Fund - Direct Plan - Growth Option	1394.7367
Union Overnight Fund - Direct Plan - Monthly IDCW Option	1001.9358
Union Overnight Fund - Regular Plan - Daily IDCW Option	1001.2621
Union Overnight Fund - Regular Plan - Growth Option	1385.5465
Union Overnight Fund - Regular Plan - Monthly IDCW Option	1001.9045
Union Overnight Fund - Unclaimed Amounts Plan - IDCW Beyond 3 years	1000.0000
Union Overnight Fund - Unclaimed Amounts Plan - IDCW Upto 3 years	1256.6760
Union Overnight Fund - Unclaimed Amounts Plan - Redemption Beyond 3 years	1000.0000
Union Overnight Fund - Unclaimed Amounts Plan - Redemption Upto 3 years	1256.7065
UTI - Overnight  Fund - Regular Plan - Growth Option	3587.1562
UTI - Overnight Fund - Direct Plan - Growth Option	3626.8406
UTI Overnight Fund - Direct Plan - Daily IDCW	1371.6621
UTI Overnight Fund - Direct Plan - Periodic IDCW	1903.4164
UTI Overnight Fund - Regular Plan - Daily IDCW	1370.8617
UTI Overnight Fund - Regular Plan - Periodic IDCW	1847.9781
Zerodha Overnight Fund - Direct Plan - Growth Option	10.3755
Aditya Birla Sun Life Short Term Fund - DIRECT - IDCW	11.3742
Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan	53.1605
Aditya Birla Sun Life Short Term Fund - Growth - Regular Plan	49.0004
Aditya Birla Sun Life Short Term Fund - REGULAR - IDCW	15.5731
Aditya Birla Sun Life Short Term Fund - REGULAR - Quarterly IDCW	10.5215
Aditya Birla Sun Life Short Term Fund-Quarterly-IDCW-Direct	10.9993
Axis Short Duration Fund - Direct Plan - Growth Option	34.8134
Axis Short Duration Fund - Direct Plan - Monthly IDCW	10.0766
Axis Short Duration Fund - Direct Plan - Regular IDCW	21.2989
Axis Short Duration Fund - Direct Plan - Weekly IDCW	10.2509
Axis Short Duration Fund - Regular Plan - Bonus Option	22.3737
Axis Short Duration Fund - Regular Plan - Growth Option	31.8395
Axis Short Duration Fund - Regular Plan - Monthly IDCW	10.0943
Axis Short Duration Fund - Regular Plan - Regular IDCW	21.3000
Axis Short Duration Fund - Regular Plan - Weekly IDCW	10.4023
Axis Short Duration Fund - Retail Plan - Growth Option	31.4713
Axis Short Duration Fund - Retail Plan - Monthly IDCW	10.0742
Axis Short Duration Fund - Retail Plan - Weekly IDCW	10.2326
Bandhan Short Duration Fund - Direct Plan - Annual IDCW	11.3765
Bandhan Short Duration Fund - Direct Plan - Fortnightly IDCW	10.3706
Bandhan Short Duration Fund - Direct Plan - Growth	62.8781
Bandhan Short Duration Fund - Direct Plan - Monthly IDCW	10.3721
Bandhan Short Duration Fund - Direct Plan - Periodic IDCW	22.6974
Bandhan Short Duration Fund - Direct Plan - Quarterly IDCW	10.7781
Bandhan Short Duration Fund - Plan B - Fortnightly Dividend	14.25207048
Bandhan Short Duration Fund - Plan C  - Fortnightly Dividend	11.21885202
Bandhan Short Duration Fund - Plan C  - Growth	18.70210837
Bandhan Short Duration Fund - Plan C  - Monthly Dividend	14.74155325
Bandhan Short Duration Fund - Plan D - Growth	22.16392015
Bandhan Short Duration Fund - Plan D - Monthly Dividend	17.71169997
Bandhan Short Duration Fund - Plan D- Fortnightly Dividend	12.03375677
Bandhan Short Duration Fund - Regular Plan - Annual IDCW	11.1249
Bandhan Short Duration Fund - Regular Plan - Fortnightly IDCW	10.4138
Bandhan Short Duration Fund - Regular Plan - Periodic IDCW	21.7453
Bandhan Short Duration Fund - Regular Plan - Quarterly IDCW	10.8467
BANK OF INDIA Short Term Income Fund-Direct Plan- Growth	29.9185
BANK OF INDIA Short Term Income Fund-Direct Plan- Monthly IDCW	14.5464
BANK OF INDIA Short Term Income Fund-Direct Plan- Quarterly IDCW	13.7930
BANK OF INDIA Short Term Income Fund-Regular Plan- Growth	27.4561
BANK OF INDIA Short Term Income Fund-Regular Plan- Monthly IDCW	14.0892
BANK OF INDIA Short Term Income Fund-Regular Plan- Quarterly IDCW	13.8843
Baroda BNP Paribas Short Duration Fund - Direct Plan - Growth Option	32.6708
Baroda BNP Paribas Short Duration Fund - Direct Plan - Monthly IDCW Option	10.5352
Baroda BNP Paribas Short Duration Fund - Direct Plan - Quarterly IDCW	11.3658
Baroda BNP Paribas Short Duration Fund - Regular Plan - Growth Option	30.0198
Baroda BNP Paribas Short Duration Fund - Regular Plan - Monthly IDCW Option	10.2933
Baroda BNP Paribas Short Duration Fund - Regular Plan - Quarterly IDCW	10.7838
CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - GROWTH OPTION	28.4556
CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - MONTHLY IDCW (Payout/Reinvestment)	18.3069
CANARA ROBECO SHORT DURATION FUND - DIRECT PLAN - QUARTERLY IDCW (Payout/Reinvestment)	17.3461
CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - GROWTH OPTION	26.0157
CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment)	15.7868
CANARA ROBECO SHORT DURATION FUND - REGULAR PLAN - QUARTERLY IDCW (Payout/Reinvestment)	15.5537
DSP Short Term Fund - Direct Plan - Growth	52.0769
DSP Short Term Fund - Direct Plan - IDCW	12.5947
DSP Short Term Fund - Direct Plan - IDCW - Monthly	11.6996
DSP Short Term Fund - Direct Plan - IDCW - Weekly	10.1891
DSP Short Term Fund - IDCW - Monthly	11.6065
DSP Short Term Fund - Regular Plan - Growth	47.7989
DSP Short Term Fund - Regular Plan - IDCW	12.5893
DSP Short Term Fund - Regular Plan - Regular Plan - IDCW - Weekly	10.1879
Franklin India Short Tem Income Plan - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Retail Plan Growth Option	0.0000
Franklin India Short Term Income Plan -  Retail Plan - Direct - Monthly - IDCW	4281.4140
Franklin India Short Term Income Plan -  Retail Plan - Direct - Quarterly - IDCW	4460.0426
Franklin India Short Term Income Plan -  Retail Plan - Direct - Weekly - IDCW	3622.9808
Franklin India Short Term Income Plan -  Retail Plan - Monthly - IDCW	4197.1520
Franklin India Short Term Income Plan -  Retail Plan - Quarterly - IDCW	4366.3354
Franklin India Short Term Income Plan -  Retail Plan - Weekly - IDCW	3801.5971
Franklin India SHORT TERM INCOME PLAN - Direct - GROWTH	15097.5360
Franklin India Short Term Income Plan - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Institutional Plan Growth Option	0.0000
Franklin India Short Term Income Plan - Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Retail Plan Growth Option	0.0000
Franklin India Short term Income Plan- Institutional Plan- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Option	0.0000
Franklin India Short term Income Plan- Retail Plan- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Direct-Growth Option	0.0000
Franklin India Short term Income Plan- Retail Plan- Segregated Portfolio 2- 10.90% Vodafone Idea Ltd 02Sep2023-Growth Option	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct- Monthly Dividend Option	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct- Quarterly Dividend Option	0.0000
Franklin India Short Term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Monthly Dividend Option	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Quarterly Dividend Option	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Monthly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Quarterly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Direct Weekly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Monthly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Quarterly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 2 - 10.90% Vodafone Idea Ltd (02-Sep-2023) - Weekly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Monthly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Quarterly - IDCW	0.0000
Franklin India Short Term Income Plan- Retail Plan-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Monthly - IDCW	0.0000
Franklin India Short term Income Plan- Retail Plan-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Quarterly - IDCW	0.0000
Franklin India Short term Income Plan-Institutional Plan- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option	0.0000
Franklin India Short-term Income Plan- Retail Plan - Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct- Growth Option	0.0000
Franklin India Short-Term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Growth Option	0.0000
Franklin India Short-term Income Plan- Retail Plan-Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Weekly Dividend Option	0.0000
Franklin India Short-term Income Plan- Retail Plan-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Weekly - IDCW	0.0000
Franklin India Short-Term Income Plan-Growth	15041.2784
Franklin India Short-Term Income Plan-Institutional Plan - Growth	12430.0000
Franklin India Short-Term Income Plan-Institutional Plan - Monthly Dividend	0.0000
Franklin India Short-term Income Plan-Retail Plan- Segregated Portfolio 1- 8.25% Vodafone Idea Ltd-10JUL20-Direct-Weekly Dividend Option	0.0000
Franklin India Short-term Income Plan-Retail Plan-Segregated Portfolio 3 (9.50% Yes Bank Ltd CO 23Dec21) - Direct Weekly - IDCW	0.0000
Franklin India Short-Term Income Plan-Weekly Bonus	0.0000
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund )- Regular Plan - Growth Option	2137.2868
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund) - Direct Plan - Growth Option	2460.8743
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1018.2248
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1018.1351
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1019.7058
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1017.913
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1024.2901
Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Regular Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)	1019.6969
HDFC Short Term  Debt Fund - Fortnightly IDCW - Direct Plan	10.3179
HDFC Short Term  Debt Fund - Fortnightly IDCW Option	10.2106
HDFC Short Term  Debt Fund - Growth Option	32.965
HDFC Short Term  Debt Fund - Growth Option - Direct Plan	34.0696
HDFC Short Term  Debt Fund - Normal IDCW - Direct Plan	20.186
HDFC Short Term  Debt Fund - Normal IDCW Option	19.5891
HSBC Short Duration Fund -  Regular Plan - Monthly IDCW	11.0516
HSBC Short Duration Fund - Bonus	27.2032
HSBC Short Duration Fund - Direct Annual IDCW	12.8047
HSBC Short Duration Fund - Direct Growth	28.8864
HSBC Short Duration Fund - Direct Plan -  Monthly IDCW	11.722
HSBC Short Duration Fund - Direct Quarterly IDCW	11.5086
HSBC Short Duration Fund - Regular Annual IDCW	12.2114
HSBC Short Duration Fund - Regular Growth	27.2042
HSBC Short Duration Fund - Regular Quarterly IDCW	10.6396
ICICI Prudential Short Term Fund - Bonus	42.3355
ICICI Prudential Short Term Fund - Direct Plan - Bonus	40.9620
ICICI Prudential Short Term Fund - Direct Plan - Growth Option	67.7563
ICICI Prudential Short Term Fund - Direct Plan - Half Yearly IDCW	13.7741
ICICI Prudential Short Term Fund - Direct Plan - Monthly IDCW	12.6781
ICICI Prudential Short Term Fund - Direct Plan - Reinvestment of IDCW Fortnightly	12.8230
ICICI Prudential Short Term Fund - Growth Option	61.9697
ICICI Prudential Short Term Fund - Half Yearly IDCW	13.4958
ICICI Prudential Short Term Fund - Reinvestment of IDCW Fortnightly	12.2409
ICICI Prudential Short Term Fund - Monthly IDCW	12.0649
ICICI Prudential Short Term Fund - Institutional Plan - Dividend Monthly	12.6927
ICICI Prudential Short Term Fund-Institutional Growth	43.8071
ICICI Prudential Short Term Fund-Institutional Plan-Dividend Fortnightly	12.8807
Invesco India Short Duration Fund - Direct Plan - Daily IDCW (Reinvestment)	1023.552
Invesco India Short Duration Fund - Direct Plan - Growth	4056.6882
Invesco India Short Duration Fund - Direct Plan - Monthly IDCW (Payout / Reinvestment)	2669.4614
Invesco India Short Duration Fund - Direct Plan -Discretionary IDCW (Payout / Reinvestment)	2861.9935
Invesco India Short Duration Fund - Direct Plan -Weekly IDCW (Reinvestment)	1022.5851
Invesco India Short Duration Fund - Plan B - Growth	3643.3173
Invesco India Short Duration Fund - Plan B - Monthly IDCW (Payout / Reinvestment)	2386.4444
Invesco India Short Duration Fund - Plan B - Weekly IDCW (Reinvestment)	1016.2074
Invesco India Short Duration Fund - Regular Plan - Daily IDCW (Reinvestment)	1036.8661
Invesco India Short Duration Fund - Regular Plan - Growth	3664.1446
Invesco India Short Duration Fund - Regular Plan - Monthly IDCW (Payout / Reinvestment)	1048.6787
Invesco India Short Duration Fund - Regular Plan - Weekly IDCW (Reinvestment)	1019.713
Invesco India Short Duration Fund- Regular Plan - Discretionary IDCW (Payout / Reinvestment)	2733.2905
JM Short Duration Fund (Direct) - Growth	12.6596
JM Short Duration Fund (Direct) - IDCW	12.6599
JM Short Duration Fund (Regular) - Growth	12.3339
JM Short Duration Fund (Regular) - IDCW	12.3346
JM Short Term Fund (Direct) - Daily Dividend Option	14.6036
JM Short Term Fund (Direct) - Dividend Option	10.6757
JM Short Term Fund (Direct) - Growth Option	26.9629
JM Short Term Fund - Daily Dividend Option	14.0738
JM Short Term Fund - Dividend Option	10.6037
JM Short Term Fund - Growth Option	26.4425
JM Short Term Fund - Regular Plan - Daily Dividend Option	13.9335
JM Short Term Fund - Regular Plan - Dividend Option	11.6715
JM Short Term Fund - Regular Plan - Growth Option	36.0763
Kotak Bond Short Term Plan - Direct - Standard Income Distribution cum capital withdrawal option	16.7117
Kotak Bond Short Term Plan - Regular Plan - Normal Dividend	12.6663
Kotak Bond Short Term Plan-(Growth)	53.491
Kotak Bond Short Term Plan-(Growth) - Direct	59.0618
Kotak Bond Short Term Plan-(Payout of Income Distribution cum capital withdrawal option)	10.0545
LIC MF Short Duration Fund-Direct Plan-Growth	16.0178
LIC MF Short Duration Fund-Direct Plan-IDCW	16.0178
LIC MF Short Duration Fund-Direct Plan-Monthly IDCW	16.0159
LIC MF Short Duration Fund-Direct Plan-Weekly IDCW	16.0162
LIC MF Short Duration Fund-Regular Plan-Growth	14.934
LIC MF Short Duration Fund-Regular Plan-IDCW	14.934
LIC MF Short Duration Fund-Regular Plan-Monthly IDCW	14.9345
LIC MF Short Duration Fund-Regular Plan-Weekly IDCW	12.8076
Mahindra Manulife Short Duration Fund - Direct Plan - IDCW	12.1899
Mahindra Manulife Short Duration Fund - Direct Plan -Growth	13.6822
Mahindra Manulife Short Duration Fund - Regular Plan - Growth	13.0646
Mahindra Manulife Short Duration Fund - Regular Plan - IDCW	11.5970
Mirae Asset Short Duration Fund - Direct Plan - Growth	17.1985
Mirae Asset Short Duration Fund - Direct Plan - IDCW	17.1570
Mirae Asset Short Duration Fund - Regular Plan - Growth	16.1568
Mirae Asset Short Duration Fund - Regular Plan - IDCW	16.1602
NIPPON INDIA SHORT DURATION FUND - Direct Plan - IDCW Option	24.0570
NIPPON INDIA SHORT DURATION FUND - Direct Plan - MONTHLY IDCW Option	11.7140
NIPPON INDIA SHORT DURATION FUND - Direct Plan - QUARTERLY IDCW OPTION	15.4800
Nippon India Short Duration Fund - Direct Plan Growth Plan - Growth Option	59.1946
NIPPON INDIA SHORT DURATION FUND - IDCW Option	22.1051
NIPPON INDIA SHORT DURATION FUND - MONTHLY IDCW Option	11.4964
NIPPON INDIA SHORT TERM FUND - QUARTERLY IDCW OPTION	15.1061
Nippon India Short Term Fund-Growth Plan	54.3467
SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	15.5373
SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	17.1299
SBI Short Horizon Debt Fund - Short Term Fund - Retail Dividend - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	15.5140
SBI SHORT HORIZON DEBT FUND-SHORT TERM FUND - RETAIL - GROWTH	37.3995
SBI Short Term Debt Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	19.6161
SBI SHORT TERM DEBT FUND - DIRECT PLAN -GROWTH	35.1783
SBI Short Term Debt Fund - Direct Plan Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	23.6946
SBI Short Term Debt Fund - Direct Plan Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	15.4092
SBI Short Term Debt Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	18.2750
SBI SHORT TERM DEBT FUND - REGULAR PLAN -GROWTH	33.0554
SBI Short Term Debt Fund - Regular Plan Fortnightly Income Distribution cum Capital Withdrawal Option (IDCW)	14.9728
SBI Short Term Debt Fund - Regular Plan Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	14.9876
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) - Direct Plan - IDCW	15.1085
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) - Direct Plan - Income Distribution CUM Capital Withdrawal Plan (IDCW)	13.2002
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) - Regular - IDCW	14.7535
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Plan - IDCW	14.8129
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Plan Fortnightly IDCW	12.9214
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Plan IDCW	15.3483
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Direct Weekly IDCW	12.8985
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular - IDCW	14.4651
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Fortnightly IDCW	12.8838
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Plan IDCW	14.9869
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Principal Units	16.0336
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund) Regular Weekly IDCW	12.8624
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund)- Direct Plan - Growth Option	49.2961
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund)- Growth Plan	45.4361
Sundaram Short Duration Fund (Formerly Known as Principal Short Term Debt Fund)- Income Distribution CUM Capital Withdrawal Option (IDCW)	13.0983
Tata Short Term Bond Fund - Direct Plan - Growth Option	54.3837
Tata Short Term Bond Fund -Regular Plan- Growth Option	48.9835
Tata Short Term Bond Fund Direct Plan - Monthly Payout of IDCW Option	24.7016
Tata Short Term Bond Fund- Direct Plan - Periodic Payout of IDCW Option	28.8583
Tata Short Term Bond Fund- Regular Plan - Monthly Payout of IDCW Option	22.1204
