Scheme Name	Net Asset Value
Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option	22.1362
NIPPON INDIA BANKING and PSU FUND - Direct Plan - MONTHLY IDCW Option	10.7647
NIPPON INDIA BANKING and PSU FUND - Direct Plan - QUARTERLY IDCW Option	11.0048
NIPPON INDIA BANKING and PSU FUND - Direct Plan - WEEKLY IDCW Option	10.3641
NIPPON INDIA BANKING and PSU FUND - IDCW Option	21.2951
NIPPON INDIA BANKING and PSU FUND - MONTHLY IDCW Option	10.6948
NIPPON INDIA BANKING and PSU FUND - QUARTERLY IDCW Option	10.9362
Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option	22.1360
Nippon India Banking and PSU Fund- Growth Plan- Bonus Option	12.3452
Nippon India Banking and PSU Fund- Growth Plan- Growth Option	21.2951
SBI Banking & PSU Fund - Direct Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1500.4878
SBI BANKING & PSU FUND - Direct Plan - Growth	3406.5410
SBI Banking & PSU Fund - Direct Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1314.4804
SBI Banking & PSU Fund - Direct Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1497.1546
SBI BANKING & PSU FUND - Regular Paln - Growth	3200.1732
SBI Banking & PSU Fund - Regular Plan - Daily Income Distribution cum Capital Withdrawal Option (IDCW)	1460.0072
SBI Banking & PSU Fund - Regular Plan - Monthly Income Distribution cum Capital Withdrawal Option (IDCW)	1229.0866
SBI Banking & PSU Fund - Regular Plan - Weekly Income Distribution cum Capital Withdrawal Option (IDCW)	1459.6598
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth	11.7065
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Monthly Dividend	11.4008
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Quarterly Dividend	10.6356
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Annual Bonus	11.6319
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Daily Dividend Reinvestment	11.6582
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Growth	11.6493
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Monthly Dividend	11.1411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Bonus	11.1681
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Quarterly Dividend	11.0236
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Regular Weekly Dividend	10.1418
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus	21.8981
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.2300
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth	44.8965
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.1770
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Bonus	21.7644
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Daily Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	10.3550
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Growth	44.2411
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Income Distribution cum Capital Withdrawal (IDCW)	11.2116
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Regular Plan - Weekly Reinvestment of Income Distribution cum Capital Withdrawal (IDCW)	12.1035
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Growth	35.6206
Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Retail Plan - Monthly Income Distribution cum Capital Withdrawal (IDCW)	11.4908
TRUSTMF BANKING & PSU FUND - DIRECT GROWTH	1334.1818
TRUSTMF BANKING & PSU FUND - REGULAR GROWTH	1302.2619
TRUSTMF BANKING & PSU FUND DIRECT PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1170.2996
TRUSTMF BANKING & PSU FUND DIRECT PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1324.8044
TRUSTMF BANKING & PSU FUND DIRECT PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL OPTION	1155.0739
TRUSTMF BANKING & PSU FUND DIRECT PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1177.1173
TRUSTMF BANKING & PSU FUND DIRECT PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1132.4302
TRUSTMF BANKING & PSU FUND REGULAR PLAN ANNUAL INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1140.1087
TRUSTMF BANKING & PSU FUND REGULAR PLAN DAILY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1245.5276
TRUSTMF BANKING & PSU FUND REGULAR PLAN MONTHLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1133.4486
TRUSTMF BANKING & PSU FUND REGULAR PLAN QUARTERLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1148.6817
TRUSTMF BANKING & PSU FUND REGULAR PLAN WEEKLY INCOME DISTRIBUTION CUM CAPITAL WITHDRAWAL	1114.0757
UTI Banking & PSU Fund - Direct Plan - Annual IDCW	13.5679
UTI Banking & PSU Fund - Direct Plan - Flexi IDCW	19.7842
UTI Banking & PSU Fund - Direct Plan - Growth Option	22.9586
UTI Banking & PSU Fund - Direct Plan - Half-Yearly IDCW	15.2348
UTI Banking & PSU Fund - Direct Plan - Monthly IDCW	13.5526
UTI Banking & PSU Fund - Direct Plan - Quarterly IDCW	17.0878
UTI Banking & PSU Fund - Regular Plan - Annual IDCW	13.305
UTI Banking & PSU Fund - Regular Plan - Flexi IDCW	15.1218
UTI Banking & PSU Fund - Regular Plan - Half-Yearly IDCW	15.0584
UTI Banking & PSU Fund - Regular Plan - Monthly IDCW	13.3099
UTI Banking & PSU Fund - Regular Plan - Quarterly IDCW	15.4745
UTI Banking & PSU Fund- Regular Plan - Growth Option	22.5493
Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan	117.9854
Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan	115.9239
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW	10.9879
Aditya Birla Sun Life Corporate Bond Fund -DIRECT - MONTHLY IDCW	12.8981
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - IDCW	12.3312
Aditya Birla Sun Life Corporate Bond Fund -REGULAR - MONTHLY IDCW	12.6896
Axis Corporate Bond Fund - Direct Plan - Daily IDCW	10.2348
Axis Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2408
Axis Corporate Bond Fund - Direct Plan - Regular IDCW	14.5477
Axis Corporate Bond Fund - Direct Plan - Weekly IDCW	10.3700
Axis Corporate Bond Fund - Direct Plan Growth	18.6472
Axis Corporate Bond Fund - Regular Plan - Daily IDCW	10.2338
Axis Corporate Bond Fund - Regular Plan - Monthly IDCW	10.1932
Axis Corporate Bond Fund - Regular Plan - Regular IDCW	13.5786
Axis Corporate Bond Fund - Regular Plan - Weekly IDCW	10.2514
Axis Corporate Bond Fund - Regular Plan Growth	17.5747
BANDHAN Corporate Bond Fund - Direct Annual IDCW	10.7919
BANDHAN Corporate Bond Fund - Direct Growth	20.3355
BANDHAN Corporate Bond Fund - Direct Half Yearly IDCW	11.6493
BANDHAN Corporate Bond Fund - Direct Monthly IDCW	10.3366
BANDHAN Corporate Bond Fund - Direct Periodic IDCW	13.4913
BANDHAN Corporate Bond Fund - Direct Quarterly IDCW	10.7202
BANDHAN Corporate Bond Fund - Regular Annual IDCW	10.7612
BANDHAN Corporate Bond Fund - Regular Growth	19.7214
BANDHAN Corporate Bond Fund - Regular Half Yearly IDCW	11.0339
BANDHAN Corporate Bond Fund - Regular Monthly IDCW	10.5894
BANDHAN Corporate Bond Fund - Regular Periodic IDCW	13.2948
BANDHAN Corporate Bond Fund - Regular Quarterly IDCW	10.7507
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Annual-IDCW Option	11.8099
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Growth Option	32.8085
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Monthly-IDCW Option	10.4310
BARODA BNP PARIBAS Corporate Bond Fund - Defunct Plan - Quarterly-IDCW Option	10.5447
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Annual IDCW Option	12.0770
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Growth Option	30.1296
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Monthly IDCW Option	10.6189
BARODA BNP PARIBAS Corporate Bond Fund - Direct Plan - Quarterly IDCW Option	10.7774
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - ANNUAL IDCW OPTION	11.7334
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - GROWTH OPTION	28.3462
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - MONTHLY IDCW OPTION	10.4738
BARODA BNP PARIBAS CORPORATE BOND FUND - Regular Plan - QUARTERLY IDCW OPTION	10.5562
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION	23.8556
CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - IDCW (Payout/Reinvestment)	12.3827
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - GROWTH OPTION	22.2028
CANARA ROBECO CORPORATE BOND FUND - REGULAR PLAN - IDCW (Payout/Reinvestment)	11.5404
DSP Corporate Bond Fund - Direct - Growth	16.7171
DSP Corporate Bond Fund - Direct - IDCW	11.8215
DSP Corporate Bond Fund - Direct - IDCW - Monthly	10.5757
DSP Corporate Bond Fund - Direct - IDCW - Quarterly	11.4589
DSP Corporate Bond Fund - Regular - Growth	16.4127
DSP Corporate Bond Fund - Regular - IDCW	11.7784
DSP Corporate Bond Fund - Regular - IDCW - Monthly	10.5522
DSP Corporate Bond Fund - Regular - IDCW - Quarterly	10.8017
Franklin India Corporate Debt Fund - Direct - Bonus	0.0000
Franklin India Corporate Debt Fund - Direct - GROWTH	111.1765
Franklin India Corporate Debt Fund - Growth	102.4172
Franklin India Corporate Debt Fund - Monthly Bonus	0.0000
Franklin India Corporate Debt Fund - Plan A - Annual - IDCW	17.4838
Franklin India Corporate Debt Fund - Plan A - Direct - Annual - IDCW	19.6786
Franklin India Corporate Debt Fund - Plan A - Direct - Half yearly - IDCW	14.9368
Franklin India Corporate Debt Fund - Plan A - Direct - Monthly - IDCW	17.1943
Franklin India Corporate Debt Fund - Plan A - Direct - Quarterly - IDCW	13.8697
Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW	12.6585
Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW	15.3336
Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW	12.1816
HDFC Corporate Bond Fund - Growth Option	33.3904
HDFC Corporate Bond Fund - Growth Option - Direct Plan	34.1564
HDFC Corporate Bond Fund - IDCW Option	20.2135
HDFC Corporate Bond Fund - IDCW Option - Direct Plan	20.9286
HDFC Corporate Bond Fund - Quarterly IDCW Option	10.6107
HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan	10.5114
HSBC Corporate Bond Fund - Direct Annual IDCW	12.3492
HSBC Corporate Bond Fund - Direct Growth	80.2816
HSBC Corporate Bond Fund - Direct Quarterly IDCW	11.5549
HSBC Corporate Bond Fund - Direct Semi Annual IDCW	20.1809
HSBC Corporate Bond Fund - Regular Annual IDCW	12.0709
HSBC Corporate Bond Fund - Regular Growth	75.2861
HSBC Corporate Bond Fund - Regular Quarterly IDCW	11.1391
HSBC Corporate Bond Fund - Regular Semi Annual IDCW	16.8557
HSBC Corporate Bond Fund -Regular Plan - Bonus	28.5977
ICICI Prudential Corporate Bond Fund - Bonus	14.9782
ICICI Prudential Corporate Bond Fund - Daily IDCW	10.1065
ICICI Prudential Corporate Bond Fund - Direct Plan - Daily IDCW	10.1008
ICICI Prudential Corporate Bond Fund - Direct Plan - Fortnightly IDCW	12.1669
ICICI Prudential Corporate Bond Fund - Direct Plan - Growth	32.2158
ICICI Prudential Corporate Bond Fund - Direct Plan - Half Yearly IDCW Option	12.8827
ICICI Prudential Corporate Bond Fund - Direct Plan - Monthly IDCW	10.2227
ICICI Prudential Corporate Bond Fund - Direct Plan - Quarterly IDCW	15.6456
ICICI Prudential Corporate Bond Fund - Direct Plan - Weekly IDCW	10.2332
ICICI Prudential Corporate Bond Fund - Fortnightly IDCW	10.2243
ICICI Prudential Corporate Bond Fund - Growth	30.7268
ICICI Prudential Corporate Bond Fund - Half Yearly IDCW Option	12.6555
ICICI Prudential Corporate Bond Fund - Monthly IDCW	10.3770
ICICI Prudential Corporate Bond Fund - Premium Daily Dividend	10.0277
ICICI Prudential Corporate Bond Fund - Premium Monthly Dividend	10.0770
ICICI Prudential Corporate Bond Fund - Weekly IDCW	10.3040
ICICI Prudential Corporate Bond Fund -Quarterly IDCW	11.3060
ICICI Prudential Corporate Bond Fund Retail Daily Dividend	10.0275
ICICI Prudential Corporate Bond Fund Retail Fort Nightly Dividend	10.3041
ICICI Prudential Corporate Bond Fund Retail Growth	22.7853
ICICI Prudential Corporate Bond Fund Retail Monthly Dividend	10.3008
